Economy,Value
United States,360
Brazil,220
Mexico,130
Colombia,75
Argentina,59
Peru,43
Canada,34
Chile,27
Guatemala,22
Venezuela,17
Ecuador,17
Bolivia (Plurinational State of),12
El Salvador,11
Dominican Rep.,9
Paraguay,8
Costa Rica,7
Honduras,7
Haiti,7
Cuba,7
Nicaragua,6
Panama,6
Uruguay,4
Jamaica,2
Trinidad and Tobago,2
Suriname,0.91
Guyana,0.86
Bahamas,0.47
Barbados,0.32
Belize,0.26
Antigua and Barbuda,0.18
Saint Lucia,0.17
Grenada,0.1
Saint Vincent and the Grenadines,0.098
Dominica,0.062
Saint Kitts and Nevis,0.057